strain,fluorescence,stress
∆yoaI,3676.9424,low_Mg
∆yoaI,3689.2222,low_Mg
∆yoaI,3714.8135,low_Mg
∆yoaI,3728.8428,low_Mg
∆yoaI,3732.0706,low_Mg
∆yoaI,3755.4,low_Mg
∆yoaI,3759.2092,low_Mg
∆yoaI,3806.7415,low_Mg
∆yoaI,3828.818,low_Mg
∆yoaI,3865.12,low_Mg
∆yoaI,3904,low_Mg
∆yoaI,3948.4546,low_Mg
∆yoaI,3988.6638,low_Mg
∆yoaI,4016.3438,low_Mg
∆yoaI,4018.776,low_Mg
∆yoaI,4040.024,low_Mg
∆yoaI,4053.8315,low_Mg
∆yoaI,4089.8462,low_Mg
∆yoaI,4100.328,low_Mg
∆yoaI,4126.2593,low_Mg
∆yoaI,4131.399,low_Mg
∆yoaI,4139.0117,low_Mg
∆yoaI,4146.01,low_Mg
∆yoaI,4150.938,low_Mg
∆yoaI,4177.118,low_Mg
∆yoaI,4187.091,low_Mg
∆yoaI,4265.551,low_Mg
∆yoaI,4278.9854,low_Mg
∆yoaI,4296.6924,low_Mg
∆yoaI,4394.8,low_Mg
∆yoaI,4418.548,low_Mg
∆yoaI,4442.8335,low_Mg
∆yoaI,4465.224,low_Mg
∆yoaI,4474.317,low_Mg
∆yoaI,4481.864,low_Mg
∆yoaI,4549.331,low_Mg
∆yoaI,4549.75,low_Mg
∆yoaI,4588.025,low_Mg
∆yoaI,4617.034,low_Mg
∆yoaI,4619.9224,low_Mg
∆yoaI,4675.204,low_Mg
∆yoaI,4706.229,low_Mg
∆yoaI,4720.6973,low_Mg
∆yoaI,4794.7407,low_Mg
∆yoaI,4844.073,low_Mg
∆yoaI,4860.7812,low_Mg
∆yoaI,4900.036,low_Mg
∆yoaI,4931.63,low_Mg
∆yoaI,4951.482,low_Mg
∆yoaI,5060.135,low_Mg
∆yoaI,5146.168,low_Mg
∆yoaI,5159.5166,low_Mg
∆yoaI,5172.8335,low_Mg
∆yoaI,5181.558,low_Mg
∆yoaI,5259.387,low_Mg
∆yoaI,5265.6045,low_Mg
∆yoaI,5298.6797,low_Mg
∆yoaI,5397.4224,low_Mg
∆yoaI,5402.1,low_Mg
∆yoaI,5462.2407,low_Mg
∆yoaI,5621.6,low_Mg
∆yoaI,5662.2407,low_Mg
∆yoaI,5668.344,low_Mg
∆yoaI,5680.7153,low_Mg
∆yoaI,5683.5386,low_Mg
∆yoaI,5711.3833,low_Mg
∆yoaI,5713.1504,low_Mg
∆yoaI,5731.1714,low_Mg
∆yoaI,5733.6665,low_Mg
∆yoaI,5741.423,low_Mg
∆yoaI,5785.433,low_Mg
∆yoaI,5798.1636,low_Mg
∆yoaI,5811.622,low_Mg
∆yoaI,5863.8877,low_Mg
∆yoaI,5887.6113,low_Mg
∆yoaI,5899.3374,low_Mg
∆yoaI,5901.1875,low_Mg
∆yoaI,5912.0234,low_Mg
∆yoaI,5927.005,low_Mg
∆yoaI,5964.4775,low_Mg
∆yoaI,6085.247,low_Mg
∆yoaI,6107.9043,low_Mg
∆yoaI,6303.939,low_Mg
∆yoaI,6405.568,low_Mg
∆yoaI,6465.294,low_Mg
∆yoaI,6570.9326,low_Mg
∆yoaI,6578.756,low_Mg
∆yoaI,6643.663,low_Mg
∆yoaI,6727.5,low_Mg
∆yoaI,6749.579,low_Mg
∆yoaI,6821.6943,low_Mg
∆yoaI,6882.398,low_Mg
wild_type,1114.6593,No_stress
wild_type,1145.5807,No_stress
wild_type,1153.2361,No_stress
wild_type,1154.3969,No_stress
wild_type,1164.5333,No_stress
wild_type,1164.7059,No_stress
wild_type,1171.3977,No_stress
wild_type,1171.6559,No_stress
wild_type,1197.3718,No_stress
wild_type,1199.7533,No_stress
wild_type,1215.553,No_stress
wild_type,1234.6576,No_stress
wild_type,1240.2549,No_stress
wild_type,1247.9608,No_stress
wild_type,1248.8804,No_stress
wild_type,1251.1,No_stress
wild_type,1260.987,No_stress
wild_type,1261.4253,No_stress
wild_type,1273.1482,No_stress
wild_type,1276.6198,No_stress
wild_type,1279.3494,No_stress
wild_type,1291.2471,No_stress
wild_type,1292.3595,No_stress
wild_type,1297.8353,No_stress
wild_type,1329.9866,No_stress
wild_type,1333.4025,No_stress
wild_type,1333.421,No_stress
wild_type,1339.2253,No_stress
wild_type,1344.4412,No_stress
wild_type,1347.4258,No_stress
wild_type,1350.7,No_stress
wild_type,1355.3164,No_stress
wild_type,1373.8108,No_stress
wild_type,1376.4694,No_stress
wild_type,1379.78,No_stress
wild_type,1385.9634,No_stress
wild_type,1392.9423,No_stress
wild_type,1403.581,No_stress
wild_type,1404.6511,No_stress
wild_type,1405.8085,No_stress
wild_type,1405.9186,No_stress
wild_type,1408.6406,No_stress
wild_type,1408.942,No_stress
wild_type,1410.7976,No_stress
wild_type,1411.7905,No_stress
wild_type,1412.3773,No_stress
wild_type,1414.0927,No_stress
wild_type,1416.1428,No_stress
wild_type,1420.9025,No_stress
wild_type,1424.0388,No_stress
wild_type,1427.7738,No_stress
wild_type,1428.7941,No_stress
wild_type,1431.4857,No_stress
wild_type,1434.0416,No_stress
wild_type,1439.1212,No_stress
wild_type,1439.5178,No_stress
wild_type,1443.4672,No_stress
wild_type,1443.9778,No_stress
wild_type,1444.0101,No_stress
wild_type,1445.0822,No_stress
wild_type,1450.1418,No_stress
wild_type,1454.3486,No_stress
wild_type,1458.3295,No_stress
wild_type,1458.6571,No_stress
wild_type,1459.6168,No_stress
wild_type,1461.1215,No_stress
wild_type,1462.4177,No_stress
wild_type,1464.1644,No_stress
wild_type,1465.7727,No_stress
wild_type,1467.411,No_stress
wild_type,1474.7113,No_stress
wild_type,1475.8992,No_stress
wild_type,1476.6406,No_stress
wild_type,1479.339,No_stress
wild_type,1482.3362,No_stress
wild_type,1483.6072,No_stress
wild_type,1484.2285,No_stress
wild_type,1487.0632,No_stress
wild_type,1488.3334,No_stress
wild_type,1490.8474,No_stress
wild_type,1492.0648,No_stress
wild_type,1495.1818,No_stress
wild_type,1497.0461,No_stress
wild_type,1498.5343,No_stress
wild_type,1504.986,No_stress
wild_type,1505.6628,No_stress
wild_type,1509.7587,No_stress
wild_type,1516.841,No_stress
wild_type,1520.5625,No_stress
wild_type,1524.2084,No_stress
wild_type,1526.0294,No_stress
wild_type,1526.08,No_stress
wild_type,1529.1389,No_stress
wild_type,1529.6742,No_stress
wild_type,1530.5054,No_stress
wild_type,1531.174,No_stress
wild_type,1538.0555,No_stress
wild_type,1541.7467,No_stress
wild_type,1547.0735,No_stress
wild_type,1556.3334,No_stress
wild_type,1557.4224,No_stress
wild_type,1558.1982,No_stress
wild_type,1559.0721,No_stress
wild_type,1569.56,No_stress
wild_type,1574.7229,No_stress
wild_type,1581.884,No_stress
wild_type,1604.7,No_stress
wild_type,1608.2192,No_stress
wild_type,1612.75,No_stress
wild_type,1620.8765,No_stress
wild_type,1622.6338,No_stress
wild_type,1633.4756,No_stress
wild_type,1636,No_stress
wild_type,1640.9269,No_stress
wild_type,1645.7794,No_stress
wild_type,1650.4166,No_stress
wild_type,1651.9574,No_stress
wild_type,1654.4565,No_stress
wild_type,1658.3385,No_stress
wild_type,1663.3544,No_stress
wild_type,1665.5785,No_stress
wild_type,1673.2428,No_stress
wild_type,1675.7102,No_stress
wild_type,1679.6179,No_stress
wild_type,1680.9403,No_stress
wild_type,1683.0658,No_stress
wild_type,1683.6077,No_stress
wild_type,1686.0289,No_stress
wild_type,1687.3135,No_stress
wild_type,1688.3972,No_stress
wild_type,1691.7053,No_stress
wild_type,1695.4259,No_stress
wild_type,1701.2446,No_stress
wild_type,1704.4348,No_stress
wild_type,1712.1208,No_stress
wild_type,1713.4062,No_stress
wild_type,1727.0546,No_stress
wild_type,1729.8197,No_stress
wild_type,1740.5431,No_stress
wild_type,1745.1473,No_stress
wild_type,1746.2596,No_stress
wild_type,1750.0515,No_stress
wild_type,1752.8223,No_stress
wild_type,1759.6421,No_stress
wild_type,1760.2097,No_stress
wild_type,1764.4445,No_stress
wild_type,1767.1646,No_stress
wild_type,1768.9612,No_stress
wild_type,1769.625,No_stress
wild_type,1773.8733,No_stress
wild_type,1775.2693,No_stress
wild_type,1777.1976,No_stress
wild_type,1778.1327,No_stress
wild_type,1782.5555,No_stress
wild_type,1792.8453,No_stress
wild_type,1793.7903,No_stress
wild_type,1798.6,No_stress
wild_type,1799.0264,No_stress
wild_type,1800.115,No_stress
wild_type,1800.125,No_stress
wild_type,1803.7313,No_stress
wild_type,1813.1951,No_stress
wild_type,1816.2695,No_stress
wild_type,1816.5161,No_stress
wild_type,1822.5641,No_stress
wild_type,1824.2656,No_stress
wild_type,1829.8695,No_stress
wild_type,1834.9835,No_stress
wild_type,1836.184,No_stress
wild_type,1836.9872,No_stress
wild_type,1837.024,No_stress
wild_type,1837.9672,No_stress
wild_type,1839.238,No_stress
wild_type,1839.7188,No_stress
wild_type,1840.6202,No_stress
wild_type,1840.8347,No_stress
wild_type,1844.9739,No_stress
wild_type,1850.9412,No_stress
wild_type,1856.7363,No_stress
wild_type,1857.5679,No_stress
wild_type,1860.2839,No_stress
wild_type,1861.94,No_stress
wild_type,1867.0333,No_stress
wild_type,1868.7931,No_stress
wild_type,1872.8064,No_stress
wild_type,1873.5264,No_stress
wild_type,1874.1609,No_stress
wild_type,1875.7126,No_stress
wild_type,1877.6719,No_stress
wild_type,1878.5049,No_stress
wild_type,1880.6,No_stress
wild_type,1884.0857,No_stress
wild_type,1888.7875,No_stress
wild_type,1889.75,No_stress
wild_type,1889.8406,No_stress
wild_type,1892.758,No_stress
wild_type,1892.85,No_stress
wild_type,1893.5294,No_stress
wild_type,1893.949,No_stress
wild_type,1896.4823,No_stress
wild_type,1897.34,No_stress
wild_type,1897.5385,No_stress
wild_type,1899.3334,No_stress
wild_type,1901.4778,No_stress
wild_type,1902.75,No_stress
wild_type,1903.4777,No_stress
wild_type,1908.8197,No_stress
wild_type,1909.3889,No_stress
wild_type,1913.1826,No_stress
wild_type,1913.2234,No_stress
wild_type,1918.5135,No_stress
wild_type,1920.5083,No_stress
wild_type,1921.8,No_stress
wild_type,1926.2759,No_stress
wild_type,1927.983,No_stress
wild_type,1930.8029,No_stress
wild_type,1931.7067,No_stress
wild_type,1942.9459,No_stress
wild_type,1946.8533,No_stress
wild_type,1947.3204,No_stress
wild_type,1949.3647,No_stress
wild_type,1949.6985,No_stress
wild_type,1951.8271,No_stress
wild_type,1954.0919,No_stress
wild_type,1954.1061,No_stress
wild_type,1960.5433,No_stress
wild_type,1962.4375,No_stress
wild_type,1963.85,No_stress
wild_type,1967.4667,No_stress
wild_type,1968.6495,No_stress
wild_type,1972.2632,No_stress
wild_type,1972.3485,No_stress
wild_type,1975.5841,No_stress
wild_type,1976.2858,No_stress
wild_type,1978.9711,No_stress
wild_type,1979.3667,No_stress
wild_type,1985,No_stress
wild_type,1988.3971,No_stress
wild_type,1989.5366,No_stress
wild_type,1989.6029,No_stress
wild_type,1990.7307,No_stress
wild_type,1991.4412,No_stress
wild_type,1991.9,No_stress
wild_type,1992.3,No_stress
wild_type,1993.1305,No_stress
wild_type,2000.56,No_stress
wild_type,2007.0776,No_stress
wild_type,2007.9432,No_stress
wild_type,2009.3108,No_stress
wild_type,2010.1783,No_stress
wild_type,2013.2142,No_stress
wild_type,2014.1954,No_stress
wild_type,2016,No_stress
wild_type,2018.4,No_stress
wild_type,2022.1224,No_stress
wild_type,2023.4615,No_stress
wild_type,2026.6031,No_stress
wild_type,2027.4706,No_stress
wild_type,2028.117,No_stress
wild_type,2030.7545,No_stress
wild_type,2031.1489,No_stress
wild_type,2032.9398,No_stress
wild_type,2039.0135,No_stress
wild_type,2041.1311,No_stress
wild_type,2044.5652,No_stress
wild_type,2051.5469,No_stress
wild_type,2054.5645,No_stress
wild_type,2057.889,No_stress
wild_type,2060.0864,No_stress
wild_type,2060.7532,No_stress
wild_type,2061.348,No_stress
wild_type,2062.4382,No_stress
wild_type,2063.246,No_stress
wild_type,2064.4026,No_stress
wild_type,2067.348,No_stress
wild_type,2068.3645,No_stress
wild_type,2068.4058,No_stress
wild_type,2073.6077,No_stress
wild_type,2074.5728,No_stress
wild_type,2077.1453,No_stress
wild_type,2078.2124,No_stress
wild_type,2080.1206,No_stress
wild_type,2080.4788,No_stress
wild_type,2082.146,No_stress
wild_type,2091.375,No_stress
wild_type,2096.303,No_stress
wild_type,2099.7273,No_stress
wild_type,2100.7466,No_stress
wild_type,2105.2703,No_stress
wild_type,2116.4849,No_stress
wild_type,2117.4712,No_stress
wild_type,2117.939,No_stress
wild_type,2123.7212,No_stress
wild_type,2123.725,No_stress
wild_type,2124.438,No_stress
wild_type,2125.2727,No_stress
