hour,replicate,strain,wild_type,OD,stress
9,7,Empty_vector,yes,0.645,stress
9,8,Empty_vector,yes,0.689,stress
9,1,Empty_vector,no,0.419,stress
9,2,Empty_vector,no,0.389,stress
9,3,Empty_vector,no,0.458,stress
9,4,Empty_vector,no,0.498,stress
9,5,Empty_vector,no,0.484,stress
9,6,Empty_vector,no,0.458,stress
9,7,Empty_vector,no,0.425,stress
9,8,Empty_vector,no,0.477,stress
9,1,yriA,no,0.372,stress
9,2,yriA,no,0.343,stress
9,3,yriA,no,0.365,stress
9,4,yriA,no,0.384,stress
9,5,yriA,no,0.427,stress
9,6,yriA,no,0.432,stress
9,7,yriA,no,0.36,stress
9,8,yriA,no,0.358,stress
9,1,yriB,no,0.409,stress
9,2,yriB,no,0.399,stress
9,3,yriB,no,0.434,stress
9,4,yriB,no,0.433,stress
9,5,yriB,no,0.354,stress
9,6,yriB,no,0.429,stress
9,7,yriB,no,0.444,stress
9,8,yriB,no,0.624,stress
9,1,yriAB,no,0.632,stress
9,2,yriAB,no,0.629,stress
9,3,yriAB,no,0.551,stress
9,4,yriAB,no,0.5,stress
9,5,yriAB,no,0.518,stress
9,6,yriAB,no,0.467,stress
9,7,yriAB,no,0.475,stress
9,8,yriAB,no,0.518,stress
9,1,yriB(yriA_syn_mut),no,0.489,stress
9,2,yriB(yriA_syn_mut),no,0.458,stress
9,3,yriB(yriA_syn_mut),no,0.534,stress
9,4,yriB(yriA_syn_mut),no,0.527,stress
9,5,yriB(yriA_syn_mut),no,0.517,stress
9,6,yriB(yriA_syn_mut),no,0.478,stress
9,7,yriB(yriA_syn_mut),no,0.441,stress
9,8,yriB(yriA_syn_mut),no,0.609,stress
10,1,Empty_vector,yes,0.663,stress
10,2,Empty_vector,yes,0.628,stress
10,3,Empty_vector,yes,0.628,stress
10,4,Empty_vector,yes,0.63,stress
10,5,Empty_vector,yes,0.629,stress
10,6,Empty_vector,yes,0.636,stress
10,7,Empty_vector,yes,0.652,stress
10,8,Empty_vector,yes,0.693,stress
10,1,Empty_vector,no,0.426,stress
10,2,Empty_vector,no,0.389,stress
10,3,Empty_vector,no,0.463,stress
10,4,Empty_vector,no,0.503,stress
10,5,Empty_vector,no,0.493,stress
10,6,Empty_vector,no,0.468,stress
10,7,Empty_vector,no,0.428,stress
10,8,Empty_vector,no,0.483,stress
10,1,yriA,no,0.374,stress
10,2,yriA,no,0.339,stress
10,3,yriA,no,0.362,stress
10,4,yriA,no,0.379,stress
10,5,yriA,no,0.431,stress
10,6,yriA,no,0.437,stress
10,7,yriA,no,0.365,stress
10,8,yriA,no,0.369,stress
10,1,yriB,no,0.414,stress
10,2,yriB,no,0.396,stress
10,3,yriB,no,0.439,stress
10,4,yriB,no,0.44,stress
10,5,yriB,no,0.353,stress
10,6,yriB,no,0.432,stress
10,7,yriB,no,0.443,stress
10,8,yriB,no,0.627,stress
10,1,yriAB,no,0.649,stress
10,2,yriAB,no,0.638,stress
10,3,yriAB,no,0.551,stress
10,4,yriAB,no,0.501,stress
10,5,yriAB,no,0.515,stress
10,6,yriAB,no,0.462,stress
10,7,yriAB,no,0.478,stress
10,8,yriAB,no,0.524,stress
10,1,yriB(yriA_syn_mut),no,0.489,stress
10,2,yriB(yriA_syn_mut),no,0.456,stress
10,3,yriB(yriA_syn_mut),no,0.53,stress
10,4,yriB(yriA_syn_mut),no,0.522,stress
10,5,yriB(yriA_syn_mut),no,0.518,stress
10,6,yriB(yriA_syn_mut),no,0.482,stress
10,7,yriB(yriA_syn_mut),no,0.439,stress
10,8,yriB(yriA_syn_mut),no,0.61,stress
11,1,Empty_vector,yes,0.683,stress
11,2,Empty_vector,yes,0.637,stress
11,3,Empty_vector,yes,0.636,stress
11,4,Empty_vector,yes,0.643,stress
11,5,Empty_vector,yes,0.637,stress
11,6,Empty_vector,yes,0.644,stress
11,7,Empty_vector,yes,0.657,stress
11,8,Empty_vector,yes,0.707,stress
11,1,Empty_vector,no,0.43,stress
11,2,Empty_vector,no,0.39,stress
11,3,Empty_vector,no,0.466,stress
11,4,Empty_vector,no,0.506,stress
11,5,Empty_vector,no,0.498,stress
11,6,Empty_vector,no,0.476,stress
11,7,Empty_vector,no,0.428,stress
11,8,Empty_vector,no,0.487,stress
11,1,yriA,no,0.374,stress
11,2,yriA,no,0.335,stress
11,3,yriA,no,0.357,stress
11,4,yriA,no,0.374,stress
11,5,yriA,no,0.433,stress
11,6,yriA,no,0.444,stress
11,7,yriA,no,0.372,stress
11,8,yriA,no,0.376,stress
11,1,yriB,no,0.414,stress
11,2,yriB,no,0.394,stress
11,3,yriB,no,0.443,stress
11,4,yriB,no,0.446,stress
11,5,yriB,no,0.351,stress
11,6,yriB,no,0.431,stress
11,7,yriB,no,0.441,stress
11,8,yriB,no,0.625,stress
11,1,yriAB,no,0.664,stress
11,2,yriAB,no,0.641,stress
11,3,yriAB,no,0.549,stress
11,4,yriAB,no,0.501,stress
11,5,yriAB,no,0.511,stress
11,6,yriAB,no,0.459,stress
11,7,yriAB,no,0.474,stress
11,8,yriAB,no,0.525,stress
11,1,yriB(yriA_syn_mut),no,0.492,stress
11,2,yriB(yriA_syn_mut),no,0.453,stress
11,3,yriB(yriA_syn_mut),no,0.526,stress
11,4,yriB(yriA_syn_mut),no,0.519,stress
11,5,yriB(yriA_syn_mut),no,0.516,stress
11,6,yriB(yriA_syn_mut),no,0.481,stress
11,7,yriB(yriA_syn_mut),no,0.438,stress
11,8,yriB(yriA_syn_mut),no,0.608,stress
12,1,Empty_vector,yes,0.694,stress
12,2,Empty_vector,yes,0.643,stress
12,3,Empty_vector,yes,0.649,stress
12,4,Empty_vector,yes,0.659,stress
12,5,Empty_vector,yes,0.649,stress
12,6,Empty_vector,yes,0.653,stress
12,7,Empty_vector,yes,0.662,stress
12,8,Empty_vector,yes,0.717,stress
12,1,Empty_vector,no,0.433,stress
12,2,Empty_vector,no,0.392,stress
12,3,Empty_vector,no,0.466,stress
12,4,Empty_vector,no,0.508,stress
12,5,Empty_vector,no,0.505,stress
12,6,Empty_vector,no,0.481,stress
12,7,Empty_vector,no,0.429,stress
12,8,Empty_vector,no,0.491,stress
12,1,yriA,no,0.374,stress
12,2,yriA,no,0.333,stress
12,3,yriA,no,0.354,stress
12,4,yriA,no,0.371,stress
12,5,yriA,no,0.434,stress
12,6,yriA,no,0.448,stress
12,7,yriA,no,0.377,stress
12,8,yriA,no,0.383,stress
12,1,yriB,no,0.415,stress
12,2,yriB,no,0.392,stress
12,3,yriB,no,0.446,stress
12,4,yriB,no,0.45,stress
12,5,yriB,no,0.351,stress
12,6,yriB,no,0.43,stress
12,7,yriB,no,0.442,stress
12,8,yriB,no,0.623,stress
12,1,yriAB,no,0.675,stress
12,2,yriAB,no,0.646,stress
12,3,yriAB,no,0.549,stress
12,4,yriAB,no,0.501,stress
12,5,yriAB,no,0.508,stress
12,6,yriAB,no,0.455,stress
12,7,yriAB,no,0.466,stress
12,8,yriAB,no,0.528,stress
12,1,yriB(yriA_syn_mut),no,0.49,stress
12,2,yriB(yriA_syn_mut),no,0.451,stress
12,3,yriB(yriA_syn_mut),no,0.523,stress
12,4,yriB(yriA_syn_mut),no,0.517,stress
12,5,yriB(yriA_syn_mut),no,0.515,stress
12,6,yriB(yriA_syn_mut),no,0.481,stress
12,7,yriB(yriA_syn_mut),no,0.436,stress
12,8,yriB(yriA_syn_mut),no,0.607,stress
13,1,Empty_vector,yes,0.707,stress
13,2,Empty_vector,yes,0.661,stress
13,3,Empty_vector,yes,0.666,stress
13,4,Empty_vector,yes,0.675,stress
13,5,Empty_vector,yes,0.665,stress
13,6,Empty_vector,yes,0.669,stress
13,7,Empty_vector,yes,0.679,stress
13,8,Empty_vector,yes,0.74,stress
13,1,Empty_vector,no,0.435,stress
13,2,Empty_vector,no,0.394,stress
13,3,Empty_vector,no,0.468,stress
13,4,Empty_vector,no,0.509,stress
13,5,Empty_vector,no,0.506,stress
13,6,Empty_vector,no,0.487,stress
13,7,Empty_vector,no,0.432,stress
13,8,Empty_vector,no,0.492,stress
13,1,yriA,no,0.371,stress
13,2,yriA,no,0.331,stress
13,3,yriA,no,0.352,stress
13,4,yriA,no,0.368,stress
13,5,yriA,no,0.434,stress
13,6,yriA,no,0.448,stress
13,7,yriA,no,0.384,stress
13,8,yriA,no,0.389,stress
13,1,yriB,no,0.415,stress
13,2,yriB,no,0.39,stress
13,3,yriB,no,0.448,stress
13,4,yriB,no,0.452,stress
13,5,yriB,no,0.35,stress
13,6,yriB,no,0.433,stress
13,7,yriB,no,0.441,stress
13,8,yriB,no,0.622,stress
13,1,yriAB,no,0.686,stress
13,2,yriAB,no,0.661,stress
13,3,yriAB,no,0.547,stress
13,4,yriAB,no,0.504,stress
13,5,yriAB,no,0.506,stress
13,6,yriAB,no,0.454,stress
13,7,yriAB,no,0.466,stress
13,8,yriAB,no,0.527,stress
13,1,yriB(yriA_syn_mut),no,0.491,stress
13,2,yriB(yriA_syn_mut),no,0.45,stress
13,3,yriB(yriA_syn_mut),no,0.521,stress
13,4,yriB(yriA_syn_mut),no,0.516,stress
13,5,yriB(yriA_syn_mut),no,0.513,stress
13,6,yriB(yriA_syn_mut),no,0.483,stress
13,7,yriB(yriA_syn_mut),no,0.438,stress
13,8,yriB(yriA_syn_mut),no,0.607,stress
14,1,Empty_vector,yes,0.701,stress
14,2,Empty_vector,yes,0.669,stress
14,3,Empty_vector,yes,0.671,stress
14,4,Empty_vector,yes,0.683,stress
14,5,Empty_vector,yes,0.667,stress
14,6,Empty_vector,yes,0.673,stress
14,7,Empty_vector,yes,0.682,stress
14,8,Empty_vector,yes,0.725,stress
14,1,Empty_vector,no,0.438,stress
14,2,Empty_vector,no,0.394,stress
14,3,Empty_vector,no,0.469,stress
14,4,Empty_vector,no,0.51,stress
14,5,Empty_vector,no,0.507,stress
14,6,Empty_vector,no,0.49,stress
14,7,Empty_vector,no,0.435,stress
14,8,Empty_vector,no,0.492,stress
14,1,yriA,no,0.372,stress
14,2,yriA,no,0.331,stress
14,3,yriA,no,0.349,stress
14,4,yriA,no,0.366,stress
14,5,yriA,no,0.434,stress
14,6,yriA,no,0.446,stress
14,7,yriA,no,0.387,stress
14,8,yriA,no,0.396,stress
