strain,length,width,phase
MgrB_stop,31.97423,7.424836,exp
MgrB_stop,33.13539,7.425033,exp
MgrB_stop,30.925665,7.4276276,exp
MgrB_stop,41.25042,7.4299603,exp
MgrB_stop,36.48123,7.4346585,exp
MgrB_stop,24.049063,7.4351506,exp
MgrB_stop,32.57846,7.4357905,exp
MgrB_stop,47.387493,7.4361753,exp
MgrB_stop,36.046497,7.443917,exp
MgrB_stop,35.399994,7.4468803,exp
MgrB_stop,46.116573,7.4473467,exp
MgrB_stop,28.738653,7.449315,exp
MgrB_stop,39.28976,7.4541078,exp
MgrB_stop,42.93195,7.4543653,exp
MgrB_stop,38.156887,7.462742,exp
MgrB_stop,36.039337,7.466538,exp
MgrB_stop,56.29415,7.4784274,exp
MgrB_stop,38.220913,7.4841886,exp
MgrB_stop,44.48496,7.495938,exp
MgrB_stop,26.276472,7.4969144,exp
MgrB_stop,29.285213,7.500252,exp
MgrB_stop,26.137917,7.500762,exp
MgrB_stop,27.892956,7.5115986,exp
MgrB_stop,38.74387,7.5141087,exp
MgrB_stop,35.14158,7.52957,exp
MgrB_stop,31.026804,7.5606904,exp
MgrB_stop,64.05078,7.562895,exp
MgrB_stop,34.672684,7.564336,exp
MgrB_stop,48.397152,7.5667515,exp
MgrB_stop,27.382061,7.576366,exp
MgrB_stop,21.328989,7.5768104,exp
MgrB_stop,16.526611,7.582922,exp
MgrB_stop,27.38843,7.5841327,exp
MgrB_stop,37.055546,7.585936,exp
MgrB_stop,39.66792,7.586898,exp
MgrB_stop,30.409168,7.5874124,exp
MgrB_stop,27.271519,7.589017,exp
MgrB_stop,19.168398,7.5915003,exp
MgrB_stop,34.382027,7.596342,exp
MgrB_stop,22.207405,7.5971084,exp
MgrB_stop,31.74993,7.6008234,exp
MgrB_stop,45.27943,7.606456,exp
MgrB_stop,48.05148,7.6106987,exp
MgrB_stop,21.87332,7.6124463,exp
MgrB_stop,14.254706,7.612714,exp
MgrB_stop,39.989017,7.6193156,exp
MgrB_stop,42.77243,7.630254,exp
MgrB_stop,34.84151,7.630327,exp
MgrB_stop,29.922022,7.6307974,exp
MgrB_stop,24.655104,7.632916,exp
MgrB_stop,47.614334,7.635389,exp
MgrB_stop,43.07093,7.6371326,exp
MgrB_stop,24.632128,7.6407943,exp
MgrB_stop,28.7405,7.6409125,exp
MgrB_stop,26.509815,7.643744,exp
MgrB_stop,40.962246,7.6526527,exp
MgrB_stop,27.804707,7.6569085,exp
MgrB_stop,32.113968,7.6601706,exp
MgrB_stop,41.72617,7.660189,exp
MgrB_stop,40.66987,7.6612735,exp
MgrB_stop,37.445934,7.672024,exp
MgrB_stop,27.801094,7.672192,exp
MgrB_stop,52.629795,7.674894,exp
MgrB_stop,31.195747,7.6753774,exp
MgrB_stop,31.159332,7.677089,exp
MgrB_stop,19.54742,7.6822004,exp
MgrB_stop,27.785378,7.688397,exp
MgrB_stop,39.665443,7.689204,exp
MgrB_stop,21.868961,7.690285,exp
MgrB_stop,25.380642,7.6940827,exp
MgrB_stop,20.07815,7.695126,exp
MgrB_stop,40.050808,7.695419,exp
MgrB_stop,44.73736,7.6954684,exp
MgrB_stop,43.01644,7.6967916,exp
MgrB_stop,27.96728,7.7011476,exp
MgrB_stop,30.806532,7.7019157,exp
MgrB_stop,33.151978,7.710544,exp
MgrB_stop,41.429024,7.7158055,exp
MgrB_stop,37.488743,7.7158256,exp
MgrB_stop,39.990932,7.7180257,exp
MgrB_stop,19.83019,7.72316,exp
MgrB_stop,28.049696,7.7278237,exp
MgrB_stop,27.77034,7.7292933,exp
MgrB_stop,48.64452,7.7321396,exp
MgrB_stop,45.81931,7.735452,exp
MgrB_stop,25.442915,7.7400904,exp
MgrB_stop,27.682695,7.7436137,exp
MgrB_stop,27.433659,7.7436333,exp
MgrB_stop,28.92293,7.7478385,exp
MgrB_stop,30.752193,7.74811,exp
MgrB_stop,31.324446,7.7486773,exp
MgrB_stop,43.45286,7.749195,exp
MgrB_stop,28.774868,7.749219,exp
MgrB_stop,32.135815,7.754919,exp
MgrB_stop,39.71722,7.765381,exp
MgrB_stop,30.428387,7.7676873,exp
MgrB_stop,34.95336,7.7732487,exp
MgrB_stop,40.31492,7.7740726,exp
MgrB_stop,22.179598,7.7745786,exp
MgrB_stop,38.157227,7.7756286,exp
MgrB_stop,27.99644,7.7801695,exp
MgrB_stop,35.136826,7.7849736,exp
MgrB_stop,22.711433,7.789584,exp
MgrB_stop,29.954266,7.7914095,exp
MgrB_stop,27.610786,7.792777,exp
MgrB_stop,21.998796,7.80541,exp
MgrB_stop,19.489788,7.8071365,exp
MgrB_stop,37.64107,7.8077483,exp
MgrB_stop,39.729855,7.8101444,exp
MgrB_stop,36.635475,7.8109784,exp
MgrB_stop,25.783367,7.811909,exp
MgrB_stop,24.002348,7.813921,exp
MgrB_stop,37.84815,7.8141346,exp
MgrB_stop,24.719383,7.8202124,exp
MgrB_stop,37.57663,7.823775,exp
