time,replicate,strain,OD,Empty_vector,stress
2,1,PmrR,0.143,Yes,10mM_mg
2,2,PmrR,0.136,Yes,10mM_mg
2,3,PmrR,0.137,Yes,10mM_mg
2,4,PmrR,0.142,Yes,10mM_mg
2,1,YdgU,0.127,Yes,no_mg
2,2,YdgU,0.135,Yes,no_mg
2,3,YdgU,0.136,Yes,no_mg
2,4,YdgU,0.14,Yes,no_mg
2,1,YdgU,0.143,Yes,10mM_mg
2,2,YdgU,0.136,Yes,10mM_mg
2,3,YdgU,0.137,Yes,10mM_mg
2,4,YdgU,0.142,Yes,10mM_mg
2,1,YoaI,0.127,Yes,no_mg
2,2,YoaI,0.135,Yes,no_mg
2,3,YoaI,0.136,Yes,no_mg
2,4,YoaI,0.14,Yes,no_mg
2,1,YoaI,0.143,Yes,10mM_mg
2,2,YoaI,0.136,Yes,10mM_mg
2,3,YoaI,0.137,Yes,10mM_mg
2,4,YoaI,0.142,Yes,10mM_mg
2,1,YadX,0.127,Yes,no_mg
2,2,YadX,0.135,Yes,no_mg
2,3,YadX,0.136,Yes,no_mg
2,4,YadX,0.14,Yes,no_mg
2,1,YadX,0.143,Yes,10mM_mg
2,2,YadX,0.136,Yes,10mM_mg
2,3,YadX,0.137,Yes,10mM_mg
2,4,YadX,0.142,Yes,10mM_mg
2,1,YriB,0.127,Yes,no_mg
2,2,YriB,0.135,Yes,no_mg
2,3,YriB,0.136,Yes,no_mg
2,4,YriB,0.14,Yes,no_mg
2,1,YriB,0.143,Yes,10mM_mg
2,2,YriB,0.136,Yes,10mM_mg
2,3,YriB,0.137,Yes,10mM_mg
2,4,YriB,0.142,Yes,10mM_mg
2,1,YmiA,0.127,Yes,no_mg
2,2,YmiA,0.135,Yes,no_mg
2,3,YmiA,0.136,Yes,no_mg
2,4,YmiA,0.14,Yes,no_mg
2,1,YmiA,0.143,Yes,10mM_mg
2,2,YmiA,0.136,Yes,10mM_mg
2,3,YmiA,0.137,Yes,10mM_mg
2,4,YmiA,0.142,Yes,10mM_mg
2,1,MgtT,0.127,Yes,no_mg
2,2,MgtT,0.135,Yes,no_mg
2,3,MgtT,0.136,Yes,no_mg
2,4,MgtT,0.14,Yes,no_mg
2,1,MgtT,0.143,Yes,10mM_mg
2,2,MgtT,0.136,Yes,10mM_mg
2,3,MgtT,0.137,Yes,10mM_mg
2,4,MgtT,0.142,Yes,10mM_mg
2,1,YmiC,0.127,Yes,no_mg
2,2,YmiC,0.135,Yes,no_mg
2,3,YmiC,0.136,Yes,no_mg
2,4,YmiC,0.14,Yes,no_mg
2,1,YmiC,0.143,Yes,10mM_mg
2,2,YmiC,0.136,Yes,10mM_mg
2,3,YmiC,0.137,Yes,10mM_mg
2,4,YmiC,0.142,Yes,10mM_mg
3,1,PmrR,0.098,No,no_mg
3,2,PmrR,0.097,No,no_mg
3,3,PmrR,0.098,No,no_mg
3,4,PmrR,0.097,No,no_mg
3,1,PmrR,0.096,No,10mM_mg
3,2,PmrR,0.097,No,10mM_mg
3,3,PmrR,0.099,No,10mM_mg
3,4,PmrR,0.096,No,10mM_mg
3,1,YdgU,0.177,No,no_mg
3,2,YdgU,0.184,No,no_mg
3,3,YdgU,0.189,No,no_mg
3,4,YdgU,0.178,No,no_mg
3,1,YdgU,0.174,No,10mM_mg
3,2,YdgU,0.176,No,10mM_mg
3,3,YdgU,0.176,No,10mM_mg
3,4,YdgU,0.186,No,10mM_mg
3,1,YoaI,0.098,No,no_mg
3,2,YoaI,0.098,No,no_mg
3,3,YoaI,0.095,No,no_mg
3,4,YoaI,0.096,No,no_mg
3,1,YoaI,0.094,No,10mM_mg
3,2,YoaI,0.095,No,10mM_mg
3,3,YoaI,0.095,No,10mM_mg
3,4,YoaI,0.094,No,10mM_mg
3,1,YadX,0.171,No,no_mg
3,2,YadX,0.163,No,no_mg
3,3,YadX,0.166,No,no_mg
3,4,YadX,0.168,No,no_mg
3,1,YadX,0.161,No,10mM_mg
3,2,YadX,0.163,No,10mM_mg
